  i  Z(km)      P(bar)      T(K)  
 39 2.1375E+06 2.2010E+03 1.9986E+02
 40 2.0882E+06 2.6032E+03 1.9987E+02
 41 2.0394E+06 3.0735E+03 1.9988E+02
 42 1.9911E+06 3.6223E+03 1.9989E+02
 43 1.9433E+06 4.2615E+03 1.9989E+02
 44 1.8961E+06 5.0046E+03 1.9990E+02
 45 1.8494E+06 5.8668E+03 1.9990E+02
 46 1.8032E+06 6.8653E+03 1.9990E+02
 47 1.7576E+06 8.0194E+03 1.9989E+02
 48 1.7125E+06 9.3510E+03 1.9989E+02
 49 1.6680E+06 1.0884E+04 1.9988E+02
 50 1.6239E+06 1.2646E+04 1.9988E+02
 51 1.5804E+06 1.4668E+04 1.9988E+02
 52 1.5375E+06 1.6982E+04 1.9988E+02
 53 1.4950E+06 1.9626E+04 1.9988E+02
 54 1.4531E+06 2.2642E+04 1.9989E+02
 55 1.4118E+06 2.6074E+04 1.9989E+02
 56 1.3709E+06 2.9974E+04 1.9990E+02
 57 1.3306E+06 3.4396E+04 1.9990E+02
 58 1.2908E+06 3.9399E+04 1.9990E+02
 59 1.2515E+06 4.5051E+04 1.9990E+02
 60 1.2128E+06 5.1421E+04 1.9990E+02
 61 1.1746E+06 5.8588E+04 1.9991E+02
 62 1.1369E+06 6.6635E+04 1.9991E+02
 63 1.0998E+06 7.5653E+04 1.9991E+02
 64 1.0632E+06 8.5738E+04 1.9992E+02
 65 1.0271E+06 9.6996E+04 1.9993E+02
 66 9.9151E+05 1.0954E+05 1.9993E+02
 67 9.5648E+05 1.2348E+05 1.9994E+02
 68 9.2197E+05 1.3895E+05 1.9995E+02
 69 8.8799E+05 1.5607E+05 1.9995E+02
 70 8.5453E+05 1.7500E+05 1.9995E+02
 71 8.2160E+05 1.9588E+05 1.9996E+02
 72 7.8920E+05 2.1885E+05 1.9996E+02
 73 7.5733E+05 2.4409E+05 1.9996E+02
 74 7.2598E+05 2.7175E+05 1.9997E+02
 75 6.9516E+05 3.0201E+05 1.9997E+02
 76 6.6486E+05 3.3504E+05 1.9997E+02
 77 6.3509E+05 3.7102E+05 1.9998E+02
 78 6.0585E+05 4.1014E+05 1.9998E+02
 79 5.7713E+05 4.5257E+05 1.9998E+02
 80 5.4894E+05 4.9851E+05 1.9997E+02
 81 5.2128E+05 5.4813E+05 1.9998E+02
 82 4.9407E+05 6.0163E+05 2.0104E+02
 83 4.6711E+05 6.5916E+05 2.0404E+02
 84 4.4015E+05 7.2092E+05 2.0940E+02
 85 4.1304E+05 7.8707E+05 2.1477E+02
 86 3.8581E+05 8.5775E+05 2.2015E+02
 87 3.5850E+05 9.3312E+05 2.2552E+02
 88 3.3113E+05 1.0133E+06 2.3086E+02
 89 3.0374E+05 1.0984E+06 2.3614E+02
 90 2.7636E+05 1.1886E+06 2.4134E+02
 91 2.4903E+05 1.2838E+06 2.4642E+02
 92 2.2179E+05 1.3843E+06 2.5134E+02
